1,"Landus CooperativeDescription: Landus Cooperative (New Hartford, IA)",Farm/Ranch,Joint,"$1,001 - $15,000",Dividends,"$201 - $1,000"
2,"Grassley Family Farms, L.L.C.Company: Grassley Family Farms, L.L.C. (New Hartford, Iowa) Description: L.L.C. created to hold farmland owned by Senator Grassley",Business EntityLimited Liability Company (LLC),Self,--,,
2.1,"Farmstead where Senator Grassley was bornDescription: Farmstead where Senator Grassley was born (New Hartford, IA) (New Hartford, IA)",Farm/Ranch,Self,"$1,001 - $15,000",None,None (or less than $201)
2.2,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 24, Rng. 15-72 A (New Hartford, Iowa) (New Hartford, IA) Filer comment:  Combined Income for all farmland.  Income and cash rent.",Farm/Ranch,Self,"$50,001 - $100,000",Rent/Royalties,"$100,001 - $1,000,000"
2.3,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 16, Rng. 15-118 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.  Land being sold under long-term contract.",Farm/Ranch,Self,"$100,001 - $250,000",Rent/Royalties,"$50,001 - $100,000"
2.4,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 16, Rng. 15-40 A (New Hartford, IA) Filer comment:  See 3.3 for Net Income for all farmland being sold under long-term contract.",Farm/Ranch,Self,"$100,001 - $250,000",Rent/Royalties,None (or less than $201)
2.5,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 15, Rng. 15-43 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm/Ranch,Self,"$50,001 - $100,000",Rent/Royalties,None (or less than $201)
2.6,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 15, Rng. 15-87 A (New Hartford, IA) Filer comment:  See 3.3 for Net Income for all farmland being sold under long-term contract.",Farm/Ranch,Self,"$100,001 - $250,000",Rent/Royalties,None (or less than $201)
2.7,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 34 & 35, Rng. 18-120 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm/Ranch,Self,"$100,001 - $250,000",Rent/Royalties,None (or less than $201)
2.8,"Farmland - all located in Butler County, Iowa, Beaver TownshipDescription: Sec. 34, Rng. 15-118 A (New Hartford, IA) Filer comment:  See 3.2 for Net Income for all farmland.",Farm/Ranch,Self,"$100,001 - $250,000",Rent/Royalties,None (or less than $201)
